Slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)","ฝ่ายรับ
ผิดชอบ",กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
257,15:20,15:50,30,PLAN,ไลน์จากหอประชุมไปฐานแห้งแรกโซน B,"หอประชุม → ฐานแห้งแรกโซน B
ยูไม่ตอบ (315-6 ตึก 3) → ลานฝั่งตรงข้ามหน้าป้ายคณะ
ยูในใจ (301+304 ตึก 3) → ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์
ยูวี (502 ตึก 100) → หอประชุมตึก4
ยูกับพี่ (501 ตึก 100) → ลานจอดรถหน้าตึกนิวเคลียร์
ยูนิคอร์น (401 ตึก 100) → สนามบาสหลังตึกภาคโย
ยูร้องโฮ่ง (304 ตึก 1) → ใต้ตึก 4 ทางเดินโคลัมโบ
ยูต่อ (401+402 ตึก 3) → ข้างตึก 100 ปีหลังตึก 2
ยูว้อน (415-6 ตึก 3) → ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย)
ยูเทิร์น (504 ตึก 100) → ลานพระบรมฝั่งขวามือ (หันหน้าเข้า)
ยูพี่น้อง (308+309 ตึก 3) → ข้างตึก 100 ปี",เติ้ล 0897991699,แผนประจำบ้านทุกบ้านโซน A,"- เมื่อถึงเวลาไลน์แถวให้ MC ประกาศลำดับบ้านที่จะลุก โดยให้น้องลุกทีละ 1 แถว 
- พี่ที่ถือธงบ้านเดินนำน้องแถวแรกออกไป พี่แผนประจำบ้านที่เหลือเรียกแถวต่อไปให้ลุกตามไป
- ตอนไลน์แถว ให้พี่แผนประจำบ้านถือธงนำด้านหน้า 1 คน ปิดท้ายแถว 1 คน และอีก 2 คนยืนขนาบข้าง

หอประชุมตึก 3
ยูต่อ (401+402 ตึก 3) → ประตูชั้น 2 → บันไดกลาง → ลานเกียร์ → ข้างตึก 100 หลังตึก 2
ยูว้อน (415-6 ตึก 3) → ประตูฝั่งป้ายคณะ → บันไดป้ายคณะ → ลานฝั่งตรงข้ามตึก 3
ยูเทิร์น (504 ตึก 100) → ประตูฝั่งตึก 2 → ถนนหน้าตึกภาคไฟ → สวนรวมใจ → ลานพระบรมฝั่งขวามือ
ยูพี่น้อง (308+309 ตึก 3) → ประตูชั้น 2 → บันไดกลาง → บันไดเกียร์ขาว → ลานเกียร์ → ข้างตึก 100
ยูไม่ตอบ (315-6 ตึก 3) → ประตูฝั่งป้ายคณะ → บันไดป้ายคณะ → ลานฝั่งตรงข้ามป้ายคณะ (tent first date)
ยูเชื่อบ่ (409 ตึก 3) → ประตูฝั่งป้ายคณะ → บันไดป้ายคณะ → สวนรวมใจฝั่งใกล้ลานพระบรม
ยูไฟเยอร์ (505 ตึก 100) → ประตูฝั่งตึก 2 → สวนรวมใจ → ลานข้างหอประชุมจุฬา
ยูนิคอร์น (401 ตึก 100) → ประตูฝั่งตึก 2 → สนามบาสตึกโย
ยูในใจ (304+301 ตึก 3)  → ประตูฝั่งป้ายคณะ → บันไดเกียร์ขาว → ลานเกียร์ → ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์
ยูเลิฟ (318+319 ตึก 3) → ประตูฝั่งป้ายคณะ → บันไดห้องละหมาด → หน้าตึกภาคโยธา
ยูวี (502 ตึก 100) → ประตูฝั่งตึก 2 → โถงใต้ตึก 100 → หอประชุมตึก 4
ยูกับพี่ (501 ตึก 100) → ประตูฝั่งตึก 2 → ถนนข้างตึก 100 → ลานจอดรถใต้ตึกนิวเคลียร์
ยูคนเดียว (418+419 ตึก 3) → ประตูฝั่งป้ายคณะ → บันไดห้องละหมาด →ทางเท้าข้างตึกภาคไฟ
ยูร้องโฮ่ง (304 ตึก 1) → ประตูฝั่งตึก 2 → ใต้ตึก 4 ทางเดินโคลัมโบ

หอประชุมตึก 4
ยูไม่หลับ (402 ตึก 100) → ลงลิฟต์ → ตั้งแถว → ถนนระหว่างตึก 2 กับ ตึก 3
ยูโร่ (404 ตึก 100) → ลงลิฟต์ → ใต้ตึก 4 → โถงใต้ตึก 100 → บันได 100 เกียร์ →  slope ตึก 2 305
ยูเอฟโอ (405 ตึก 100) → ลงลิฟต์ → ใต้ตึก 4 → โถงใต้ตึก 100 → บันได 100 เกียร์ → slope ตึก 2 302
ยูบายพาร์ท (โถงกวศ ตึก 4) →  ลงลิฟต์ → ถนนข้างตึก 4 → หน้าตึก สลับ ลดาวัลย์"
258,15:20,15:20,10,COOR,ตามสล็อตยาม,"บ้าน A ยูเทิร์น - จุด A
บ้าน B ยูไฟเยอร์ - จุด B
บ้าน C ยูเลิฟ - จุด D
บ้าน Dog ยูกับพี่ - จุด F
บ้าน E ยูวี - จุด H
บ้าน F ยูว้อน - จุด I
บ้าน G ยูพี่น้อง - จุด J
บ้าน H ยูเชื่อบ่ - จุด K
บ้าน J ยูไม่หลับ - จุด L
บ้าน K ยูต่อ - จุด N
บ้าน L ยูบายพาร์ท - จุด P
บ้าน M ยูไม่ตอบ - จุด S
บ้าน N ยูโร่ - จุด U
บ้าน P ยูนิคอร์น - จุด Y
บ้าน Q ยูคนเดียว - จุดนอก 1
บ้าน R ยูเอฟโอ - จุดนอก 2
บ้าน S ยูร้องโฮ่ง - จุดนอก 3
บ้าน T ยูในใจ - จุดนอก 4",ฟ้า 0816443327,"ยูเทิร์น - ซีดี 0909769236
ยูไฟเยอร์ - เต้ 0920921853
ยูเลิฟ - ฟ้า 0816443327
ยูกับพี่ - ปิงปอง 0989838988
ยูวี - อุ๊ง 0897924157
ยูว้อน - พอร์ช 0625901145
ยูพี่น้อง - บ๊อบบี้ 0969549900
ยูเชื่อบ่ - พุทธ 0634164067
ยูไม่หลับ - เชียร์ 0839986709
ยูต่อ - พุทธ 0634164067
ยูบายพาร์ท - ปุ๋ย 0968635225
ยูไม่ตอบ - โฟกัส 0956971900
ยูโร่ - โอ๊ต 0904041246
ยูนิคอร์น - ริกะ 0971310792
ยูคนเดียว - พอร์ช 0625901145
ยูเอฟโอ - เบว 0649745945
ยูร้องโฮ่ง - วา 0934427820
ยูในใจ - ฟ้า 0816443327","- ตามยามให้ไปที่ห้อง toshiba ชั้น 1 ตึก 3 ก่อนไปประจำจุด
- ยามประจำจุดเวลา 15.30-17.30"
259,15:50,17:35,2,PLAN,พาน้องเข้าห้องน้ำช่วงฐานกิจกรรม โซน A,"โซน A
ลานพระบรมฝั่งขวามือ (หันหน้าเข้า) - ห้องน้ำ ตึก 1
ลานข้างหอประชุมจุฬา - ห้องน้ำทรู ตึก 3 
หอประชุมตึก 3 - ห้องน้ำกลาง ตึก 3
slope ตึก 2 302 - ห้องน้ำตึก 2 ชั้น 3
slope ตึก 2 305 - ห้องน้ำตึก 2 ชั้น 3
หน้าตึก สลับ ลดาวัลย์ - ห้องน้ำตึก 2 ชั้น 1
ข้างอาคารภาคไฟ - ห้องน้ำตึก 1 ชั้น 1, 2
ทางเท้าข้างตึกภาคไฟ - ห้องน้ำตึก 1 ชั้น 1, 2
สวนรวมใจฝั่งใกล้ลานพระบรม - ห้องน้ำตึก 1 ชั้น 1, 2",กัน 0974514159,แผนประจำบ้านทุกบ้านโซน A,"-การเข้าห้องน้ำจะเป็นการเข้าในกรณี emergency เท่านั้น
-หากน้องคนไหนจำเป็นที่จะต้องเข้าให้พี่แผนประจำบ้านเพศเดียวกันเป็นคนพาน้องไป 1 คน

"
260,15:50,17:35,2,PLAN,พาน้องเข้าห้องน้ำช่วงฐานกิจกรรม โซน B,"โซน B
ลานฝั่งตรงข้ามหน้าป้ายคณะ - ห้องน้ำกลาง ตึก 3
ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย) - ห้องน้ำกลาง ตึก 3
ข้างตึก 100 ปี - ห้องน้ำตึกอรุณ
ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์ - ห้องน้ำใต้ตึก 4
หอประชุมตึก 4 - ห้องน้ำตึก 4 ชั้น 2
ลานจอดรถหน้าตึกนิวเคลียร์ - ห้องน้ำใต้ตึก 4
ใต้ตึก 4 ทางเดินโคลัมโบ - ห้องน้ำใต้ตึก 4
ข้างตึก 100 ปีหลังตึก 2 - ห้องน้ำตึกอรุณ
สนามบาสหลังตึกภาคโย - ห้องน้ำตึก 4",เติ้ล 0897991699,แผนประจำบ้านทุกบ้านโซน B,"-การเข้าห้องน้ำจะเป็นการเข้าในกรณี emergency เท่านั้น
-หากน้องคนไหนจำเป็นที่จะต้องเข้าให้พี่แผนประจำบ้านเพศเดียวกันเป็นคนพาน้องไป 1 คน

"
261,15:50,16:05,15,ACT,ฐานที่ 1 ของเเต่ละกลุ่ม,"ยูเทิร์น → ลานพระบรมฝั่งขวามือ (หันหน้าเข้า)
ยูไฟเยอร์ → ลานข้างหอประชุมจุฬา
ยูไม่หลับ → หอประชุมตึก 3 
ยูเอฟโอ → slope ตึก 2 302
ยูโร่ → slope ตึก 2 305
ยูบายพาร์ท → หน้าตึก สลับ ลดาวัลย์
ยูเลิฟ → ข้างอาคารภาคไฟ
ยูคนเดียว → ทางเท้าข้างตึกภาคไฟ
ยูเชื่อบ่ → สวนรวมใจฝั่งใกล้ลานพระบรม
ยูไม่ตอบ → ลานฝั่งตรงข้ามหน้าป้ายคณะ(tent first date )
ยูว้อน → ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย)
ยูพี่น้อง → ข้างตึก 100 ปี
ยูในใจ → ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์
ยูวี → หอประชุมตึก4
ยูกับพี่ → ลานจอดรถหน้าตึกนิวเคลียร์
ยูนิคอร์น → สนามบาสหลังตึกภาคโย
ยูร้องโฮ่ง → ใต้ตึก4ทางเดินโคลัมโบ
ยูต่อ → ข้างตึก100ปีหลังตึก2
",น้ำ 0929974606,"มิ้น 0641625451
ฟ้า 0852152435
มิเชล 0909292160
ฟิวส์ 0979230845
สิน 0813584566
โอปอ 0629392451
ลีโอ 0853708299
เฮฮา 0924632469
สีไม้ 0959596921
มอส 0859741345""",-น้องจะเริ่มเล่นกิจกรรมฐาน 1 ตามที่เเต่ละกลุ่มได้รับ
262,15:50,16:00,10,WELFARE,นัดรวมฝ่ายสวัสดิการไปซื้อของ,ห้องฝ่ายพัสดุ (204 ตึก 3),ไนท์ 0858292877,เนม 0988729227,
263,16:00,16:15,15,WELFARE,อาหารมาส่งที่ icanteen,icanteen บริเวณหน้าทางเข้า,ไนท์ 0858292878,,
264,16:00,18:00,120,WELFARE,ส่งฝ่ายสวัสดิบางส่วนไปซื้อของที่เบิกใหม่ต่อวัน,ห้องฝ่ายพัสดุ (204 ตึก 3) → ห้าง ,ไนท์ 0858292877,ก้อง 0813184242,- รวบรวมของที่ซื้อได้มาเก็บไว้ก่อนที่ตึกจะปิดในห้องสวัสดิ
265,16:05,16:10,7200,ACT,ไลน์เเถวน้องไปฐาน 2,ทางเดินภายในคณะวิศวกรรมศาสตร์,น้ำ 0929974606,มิ้น 0641625451,- line เเถวน้องโดยแผนประจำบ้าน
266,16:10,16:25,15,ACT,ฐานที่ 2 ของเเต่ละกลุ่ม,"ยูเชื่อบ่→ลานพระบรมฝั่งขวามือ( หันหน้าเข้า )
ยูเทิร์น→ลานข้างหอประชุมจุฬา
ยูไฟเยอร์→หอประชุมตึก3
ยูไม่หลับ→slope ตึก 2 302
ยูเอฟโอ→ slope ตึก 2 305
ยูโร่→หน้าตึก สลับ ลดาวัลย์
ยูบายพาร์ท→ข้างอาคารภาคไฟ
ยูเลิฟ→ทางเท้าข้างตึกภาคไฟ
ยูคนเดียว→ สวนรวมใจฝั่งใกล้ลานพระบรม
ยูต่อ → ลานฝั่งตรงข้ามหน้าป้ายคณะ(tent first date )
ยูไม่ตอบ → ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย)
ยูว้อน→ข้างตึก100ปี
ยูพี่น้อง→ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์
ยูในใจ→หอประชุมตึก4
ยูวี→ลานจอดรถหน้าตึกนิวเคลียร์
ยูกับพี่→สนามบาสหลังตึกภาคโย
ยูนิคอร์น→ใต้ตึก4ทางเดินโคลัมโบ
ยูร้องโฮ่ง→ข้างตึก100ปีหลังตึก2",น้ำ 0929974606,"มิ้น 0641625451
ฟ้า 0852152435
มิเชล 0909292160
ฟิวส์ 0979230845
สิน 0813584566
โอปอ 0629392451
ลีโอ 0853708299
เฮฮา 0924632469
สีไม้ 0959596921
มอส 0859741345""",-น้องจะเริ่มเล่นกิจกรรมฐาน 2 ตามที่เเต่ละกลุ่มได้รับ
267,16:15,16:30,15,WELFARE,สตาฟยกอาหารขึ้นมาที่ห้องฝ่าย,icanteen → ห้องฝ่ายพัสดุ (204 ตึก 3),ไนท์ 0858292879,,
268,16:25,16:30,7200,ACT,ไลน์เเถวน้องไปฐาน 3 ,ทางเดินภายในคณะวิศวกรรมศาสตร์,น้ำ 0929974606,มิ้น 0641625451,- line เเถวน้องโดยแผนประจำบ้าน
269,16:30,16:45,15,ACT,ฐานที่ 3 ของเเต่ละกลุ่ม,"ยูคนเดียว→ลานพระบรมฝั่งขวามือ( หันหน้าเข้า )
ยูเชื่อบ่→ลานข้างหอประชุมจุฬา
ยูเทิร์น→หอประชุมตึก3
ยูไฟเยอร์→slope ตึก 2 302
ยูไม่หลับ→slope ตึก 2 305
ยูเอฟโอ→หน้าตึก สลับ ลดาวัลย์
ยูโร่→ข้างอาคารภาคไฟ
ยูบายพาร์ท→ทางเท้าข้างตึกภาคไฟ
ยูเลิฟ→สวนรวมใจฝั่งใกล้ลานพระบรม
ยูร้องโฮ่ง→ลานฝั่งตรงข้ามหน้าป้ายคณะ(tent first date )
ยูต่อ→ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย)
ยูไม่ตอบ→ข้างตึก100ปี
ยูว้อน→ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์
ยูพี่น้อง→หอประชุมตึก4
ยูในใจ→ลานจอดรถหน้าตึกนิวเคลียร์
ยูวี→สนามบาสหลังตึกภาคโย
ยูกับพี่→ ใต้ตึก4ทางเดินโคลัมโบ
ยูนิคอร์น→ข้างตึก 100 ปี หลังตึก 2",น้ำ 0929974606,"มิ้น 0641625451
ฟ้า 0852152435
มิเชล 0909292160
ฟิวส์ 0979230845
สิน 0813584566
โอปอ 0629392451
ลีโอ 0853708299
เฮฮา 0924632469
สีไม้ 0959596921
มอส 0859741345""",-น้องจะเริ่มเล่นกิจกรรมฐาน 3 ตามที่เเต่ละกลุ่มได้รับ
270,16:30,16:50,20,WELFARE,จัดเตรียมอาหารให้เพื่อนๆ และน้อง,ห้องฝ่ายพัสดุ (204 ตึก 3),ไนท์ 0858292880,,
271,16:45,16:50,7200,ACT,ไลน์เเถวน้องไปฐาน 4,ทางเดินภายในคณะวิศวกรรมศาสตร์,น้ำ 0929974606,มิ้น 0641625451,- line เเถวน้องโดยแผนประจำบ้าน
272,16:50,17:05,15,ACT,ฐานที่ 4 ของเเต่ละกลุ่ม,"ยูเลิฟ→ลานพระบรมฝั่งขวามือ( หันหน้าเข้า )
ยูคนเดียว→ลานข้างหอประชุมจุฬา
ยูเชื่อบ่→หอประชุมตึก3
ยูเทิร์น→slope ตึก 2 302
ยูไฟเยอร์ →slope ตึก 2 305
ยูไม่หลับ→หน้าตึก สลับ ลดาวัลย์
ยูเอฟโอ→ข้างอาคารภาคไฟ
ยูโร่→ทางเท้าข้างตึกภาคไฟ
ยูบายพาร์ท →สวนรวมใจฝั่งใกล้ลานพระบรม
ยูนิคอร์น→ลานฝั่งตรงข้ามหน้าป้ายคณะ(tent first date )
ยูร้องโฮ่ง→ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย)
ยูต่อ → ข้างตึก100ปี
ยูไม่ตอบ→ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์
ยูว้อน→หอประชุมตึก4
ยูพี่น้อง→ลานจอดรถหน้าตึกนิวเคลียร์
ยูในใจ→สนามบาสหลังตึกภาคโย
ยูวี→ใต้ตึก4ทางเดินโคลัมโบ
ยูกับพี่→ข้างตึก100ปีหลังตึก2",น้ำ 0929974606,"มิ้น 0641625451
ฟ้า 0852152435
มิเชล 0909292160
ฟิวส์ 0979230845
สิน 0813584566
โอปอ 0629392451
ลีโอ 0853708299
เฮฮา 0924632469
สีไม้ 0959596921
มอส 0859741345""",-น้องจะเริ่มเล่นกิจกรรมฐาน 4 ตามที่เเต่ละกลุ่มได้รับ
273,16:50,17:30,40,WELFARE,ให้เพื่อนมารับอาหารทั้งของพี่และน้อง,ห้องฝ่ายพัสดุ (204 ตึก 3),ไนท์ 0858292881,,
274,17:05,17:10,7200,ACT,ไลน์เเถวน้องไปฐาน 5,ทางเดินภายในคณะวิศวกรรมศาสตร์,น้ำ 0929974606,มิ้น 0641625451,- line เเถวน้องโดยแผนประจำบ้าน
275,17:10,17:25,15,ACT,ฐานที่ 5 ของเเต่ละกลุ่ม,"ยูบายพาร์ท→ลานพระบรมฝั่งขวามือ( หันหน้าเข้า )
ยูเลิฟ→ ลานข้างหอประชุมจุฬา
ยูคนเดียว→หอประชุมตึก3
ยูเชื่อบ่ →slope ตึก 2 302
ยูเทิร์น→ slope ตึก 2 305
ยูไฟเยอร์→หน้าตึก สลับ ลดาวัลย์
ยูไม่หลับ→ข้างอาคารภาคไฟ
ยูเอฟโอ→ทางเท้าข้างตึกภาคไฟ
ยูโร่→สวนรวมใจฝั่งใกล้ลานพระบรม
ยูกับพี่→ ลานฝั่งตรงข้ามหน้าป้ายคณะ(tent first date )
ยูนิคอร์น→ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย)
ยูร้องโฮ่ง→ข้างตึก100ปี
ยูต่อ→ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์
ยูไม่ตอบ→หอประชุมตึก4
ยูว้อน→ลานจอดรถหน้าตึกนิวเคลียร์
ยูพี่น้อง→สนามบาสหลังตึกภาคโย
ยูในใจ→ใต้ตึก4ทางเดินโคลัมโบ
ยูวี→ข้างตึก100ปีหลังตึก2",น้ำ 0929974606,"มิ้น 0641625451
ฟ้า 0852152435
มิเชล 0909292160
ฟิวส์ 0979230845
สิน 0813584566
โอปอ 0629392451
ลีโอ 0853708299
เฮฮา 0924632469
สีไม้ 0959596921
มอส 0859741345""",-น้องจะเริ่มเล่นกิจกรรมฐาน 5 ตามที่เเต่ละกลุ่มได้รับ
276,17:20,17:20,105,COOR,ตามสล็อตยาม,"บ้าน A ยูเทิร์น - จุด A
บ้าน B ยูไฟเยอร์ - จุด B
บ้าน C ยูเลิฟ - จุด D
บ้าน Dog ยูกับพี่ - จุด F
บ้าน E ยูวี - จุด H
บ้าน F ยูว้อน - จุด I
บ้าน G ยูพี่น้อง - จุด J
บ้าน H ยูเชื่อบ่ - จุด K
บ้าน J ยูไม่หลับ - จุด L
บ้าน K ยูต่อ - จุด N
บ้าน L ยูบายพาร์ท - จุด P
บ้าน M ยูไม่ตอบ - จุด S
บ้าน N ยูโร่ - จุด U
บ้าน P ยูนิคอร์น - จุด Y
บ้าน Q ยูคนเดียว - จุดนอก 1
บ้าน R ยูเอฟโอ - จุดนอก 2
บ้าน S ยูร้องโฮ่ง - จุดนอก 3
บ้าน T ยูในใจ - จุดนอก 4",ฟ้า 0816443327,"ยูเทิร์น - ซีดี 0909769236
ยูไฟเยอร์ - เต้ 0920921853
ยูเลิฟ - ฟ้า 0816443327
ยูกับพี่ - ปิงปอง 0989838988
ยูวี - อุ๊ง 0897924157
ยูว้อน - พอร์ช 0625901145
ยูพี่น้อง - บ๊อบบี้ 0969549900
ยูเชื่อบ่ - พุทธ 0634164067
ยูไม่หลับ - เชียร์ 0839986709
ยูต่อ - พุทธ 0634164067
ยูบายพาร์ท - ปุ๋ย 0968635225
ยูไม่ตอบ - โฟกัส 0956971900
ยูโร่ - โอ๊ต 0904041246
ยูนิคอร์น - ริกะ 0971310792
ยูคนเดียว - พอร์ช 0625901145
ยูเอฟโอ - เบว 0649745945
ยูร้องโฮ่ง - วา 0934427820
ยูในใจ - ฟ้า 0816443327","- ตามยามให้ไปที่ห้อง toshiba ชั้น 1 ตึก 3 ก่อนไปประจำจุด
- ยามประจำจุดเวลา 17.30-19.30
- ให้ยามเอากระเป๋าออกมาด้วยเลยเพราะจะปิดห้องแล้ว"
277,17:25,17:35,10,ACT,ไลน์เเถวน้องไปฐาน 6,ทางเดินภายในคณะวิศวกรรมศาสตร์,น้ำ 0929974606,มิ้น 0641625451,- line เเถวน้องโดยแผนประจำบ้าน
278,17:35,17:37,2,PLAN,แผนประจำบ้านถามน้องว่าใครอยากเข้าห้องน้ำ โซนA,ฐานแห้งโซน A,กัน 0974514159,แผนประจำบ้านทุกบ้านโซน A,-พี่แผนประจำบ้านถามน้องว่ามีน้องคนไหนต้องการที่จะไปเข้าห้องน้ำมั้ย
279,17:35,17:37,2,PLAN,แผนประจำบ้านถามน้องว่าใครอยากเข้าห้องน้ำ โซนB,ฐานแห้งโซน B,เติ้ล 0897991699,แผนประจำบ้านทุกบ้านโซน B,-พี่แผนประจำบ้านถามน้องว่ามีน้องคนไหนต้องการที่จะไปเข้าห้องน้ำมั้ย
280,17:35,17:50,15,ACT,พักรับประทานอาหารว่าง,"ยูโร่ → ลานพระบรมฝั่งขวามือ( หันหน้าเข้า )
ยูบายพาร์ท → ลานข้างหอประชุมจุฬา
ยูเลิฟ → หอประชุมตึก3
ยูคนเดียว → slope ตึก 2 302
ยูเชื่อบ่ → slope ตึก 2 305
ยูเทิร์น → หน้าตึก สลับ ลดาวัลย์
ยูไฟเยอร์ → ข้างอาคารภาคไฟ
ยูไม่หลับ → ทางเท้าข้างตึกภาคไฟ
ยูเอฟโอ → สวนรวมใจฝั่งใกล้ลานพระบรม
ยูวี → ลานฝั่งตรงข้ามหน้าป้ายคณะ(tent first date )
ยูกับพี่ → ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย)
ยูนิคอร์น → ข้างตึก100ปี
ยูร้องโฮ่ง → ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์
ยูต่อ → หอประชุมตึก4
ยูไม่ตอบ → ลานจอดรถหน้าตึกนิวเคลียร์
ยูว้อน →สนามบาสหลังตึกภาคโย
ยูพี่น้อง→ ใต้ตึก4ทางเดินโคลัมโบ
ยูในใจ → ข้างตึก100ปีหลังตึก2",น้ำ 0929974606,"มิ้น 0641625451
ฟ้า 0852152435
มิเชล 0909292160
ฟิวส์ 0979230845
สิน 0813584566
โอปอ 0629392451
ลีโอ 0853708299
เฮฮา 0924632469
สีไม้ 0959596921
มอส 0859741345""",-น้องจะรัปประทานอาหารว่างเเละพักเข้าห้องน้ำในฐานที่น้องอยู่
281,17:37,17:40,3,PLAN,ไลน์น้องไปเข้าห้องน้ำช่วง break โซน A,"โซน A
ลานพระบรมฝั่งขวามือ (หันหน้าเข้า) → ห้องน้ำ ตึก 1
ลานข้างหอประชุมจุฬา → ห้องน้ำทรู ตึก 3 
หอประชุมตึก 3 → ห้องน้ำกลาง ตึก 3
slope ตึก 2 302 → ห้องน้ำตึก 2 ชั้น 3
slope ตึก 2 305 → ห้องน้ำตึก 2 ชั้น 3
หน้าตึก สลับ ลดาวัลย์ → ห้องน้ำตึก 2 ชั้น 1
ข้างอาคารภาคไฟ → ห้องน้ำตึก 1 ชั้น 1, 2
ทางเท้าข้างตึกภาคไฟ → ห้องน้ำตึก 1 ชั้น 1, 2
สวนรวมใจฝั่งใกล้ลานพระบรม → ห้องน้ำตึก 1 ชั้น 1, 2",กัน 0974514159,แผนประจำบ้านทุกบ้านโซน A,"-ให้พี่แผนประจำบ้านชาย 1 คน หญิง 1 คน พาน้องไปเข้าห้องตามตามตำแหน่งที่กำหนด 
-พี่แผนประจำบ้านอีก 2 คนที่เหลือ ให้ดูแลน้องในบ้านของตนเอง 
-หากในช่วงเวลาที่พี่แผนประจำบ้านพาน้องไปเข้าห้องน้ำแล้วมีน้องตกหล่นอยากไปเข้าห้องน้ำ ให้น้องรอเข้าที่ฐานถัดไป
หมายเหตุ: สนามบาสหลังตึกภาคโยพยายามบอกให้น้องอดทน 
ถ้าน้องทนไหวบอกให้น้องเข้าห้องน้ำฐานถัดไป ถ้าน้องทนไม่ไหวให้พาน้องไปเข้า ห้องน้ำตึก 4"
282,17:37,17:40,3,PLAN,ไลน์น้องไปเข้าห้องน้ำช่วง break โซนB,"โซน B
ลานฝั่งตรงข้ามหน้าป้ายคณะ → ห้องน้ำกลาง ตึก 3
ลานฝั่งตรงข้ามตึก 3 (ฝั่งเทวาลัย) → ห้องน้ำกลาง ตึก 3
ข้างตึก 100 ปี → ห้องน้ำตึกอรุณ
ใต้ตึก 4 ฝั่งถนนอังรีดูนังค์ → ห้องน้ำใต้ตึก 4
หอประชุมตึก 4 → ห้องน้ำตึก 4 ชั้น 2
ลานจอดรถหน้าตึกนิวเคลียร์ → ห้องน้ำใต้ตึก 4
ใต้ตึก 4 ทางเดินโคลัมโบ → ห้องน้ำใต้ตึก 4
ข้างตึก 100 ปีหลังตึก 2 → ห้องน้ำตึกอรุณ
สนามบาสหลังตึกภาคโย → ห้องน้ำตึก 4",เติ้ล 0897991699,แผนประจำบ้านทุกบ้านโซน B,"-ให้พี่แผนประจำบ้านชาย 1 คน หญิง 1 คน พาน้องไปเข้าห้องตามตามตำแหน่งที่กำหนด 
-พี่แผนประจำบ้านอีก 2 คนที่เหลือ ให้ดูแลน้องในบ้านของตนเอง 
-หากในช่วงเวลาที่พี่แผนประจำบ้านพาน้องไปเข้าห้องน้ำแล้วมีน้องตกหล่นอยากไปเข้าห้องน้ำ ให้น้องรอเข้าที่ฐานถัดไป
หมายเหตุ: สนามบาสหลังตึกภาคโยพยายามบอกให้น้องอดทน 
ถ้าน้องทนไหวบอกให้น้องเข้าห้องน้ำฐานถัดไป ถ้าน้องทนไม่ไหวให้พาน้องไปเข้า ห้องน้ำตึก 4"
283,17:40,17:48,8,PLAN,แผนประจำบ้านพาน้องเข้าห้องน้ำจนครบ โซน A,"ห้องน้ำ ตึก 1
ห้องน้ำตึก 2 ชั้น 3 
ห้องน้ำตึก 2 ชั้น 1
ห้องน้ำทรู ตึก 3 
ห้องน้ำกลาง ตึก 3 
ห้องน้ำตึก 4 ชั้น 1
ห้องน้ำตึก 4 ชั้น 2 
ห้องน้ำตึกอรุณ ",กัน 0974514159,แผนประจำบ้านทุกบ้านโซน A,-พี่แผนประจำบ้านรอน้องเข้าห้องน้ำจนน้องออกมาจากห้องน้ำจนครบและเตรียมไลน์น้องกลับฐานเดิม
284,17:40,17:48,8,PLAN,แผนประจำบ้านพาน้องเข้าห้องน้ำจนครบ โซน B,"ห้องน้ำ ตึก 1
ห้องน้ำตึก 2 ชั้น 3 
ห้องน้ำตึก 2 ชั้น 1
ห้องน้ำทรู ตึก 3 
ห้องน้ำกลาง ตึก 3 
ห้องน้ำตึก 4 ชั้น 1
ห้องน้ำตึก 4 ชั้น 2 
ห้องน้ำตึกอรุณ ",เติ้ล 0897991699,แผนประจำบ้านทุกบ้านโซน B,-พี่แผนประจำบ้านรอน้องเข้าห้องน้ำจนน้องออกมาจากห้องน้ำจนครบและเตรียมไลน์น้องกลับฐานเดิม
